Sales, units;янв.18;фев.18;мар.18;апр.18
HVBCM3741B;0;0;0;0
SQWCG1718H;93;54;94;86
FFPUX1034F;0;0;0;0
CHKKD8085E;0;0;0;0
BXMMN4771W;60;10;32;49
EIXUT7302G;0;0;0;0
GKCTY9312K;0;0;0;0
ZEALF0409C;0;0;0;0
SKMJH8241E;9;10;6;0
SUBOT1872Y;0;0;0;0
GOHGS2749P;175;124;151;166
WVIZJ6413R;0;0;0;0
WJMYK5294A;18;17;20;28
AZVNU3930C;0;0;0;0
DRPSY4481F;523;502;5;0
HOVZG9924G;0;-5;-1;3
ZDTZC9904P;112;208;211;472
NINOW8503I;4;0;0;0
TLHGW0860I;0;0;0;0
XKKHZ9941V;0;0;0;0
MFVVH4160S;0;0;2;0
PKWIN9593K;12;12;11;8
EXAVX6092K;14;21;9;23
TODIB7377E;0;0;-2;7
WVHGL7695Z;65;94;95;269
OIFUK7544L;22;43;35;25
PEQFV5436U;2;-2;2;0
BVJQZ1144P;0;0;0;0
MMCLH9459B;0;0;0;0
IPLWN1561C;0;-11;0;0
VPUXP2251H;56;79;31;514
XQTIA3102B;40;116;28;182
PCJYJ7760A;78;75;55;340
WBMDO4194K;65;39;34;184
OSAHU8746N;39;18;604;228
HMUGO6033K;0;0;0;300
YMKLA0651I;0;0;235;0
SVROW6600B;34;24;18;30
AFFRJ6298S;0;0;24;0
KQZFN3511L;0;0;0;23
AGXAT0760U;0;0;0;0
JODMF4405C;30;29;47;13
PTHDN0038O;42;10;-10;6
PPKGE4926D;0;-5;0;1
PLJLH6070K;0;-13;0;1
WFKHK0266X;34;122;193;2
SBBRR4756I;4;-1;1;1
ODAUY6958C;0;0;-2;0
OUKCL6234N;15;7;11;0
RRHKU0004S;0;0;0;0
TCNBB3978R;9;0;0;0
IRSVM5802F;0;0;0;0
DYQWX3660O;41;0;0;4
WZHSM4237K;0;0;-5;5
CZEXV0807N;77;24;48;24
YQLLH1480H;0;0;0;0
ZAFNU1851H;4;0;0;0
MFOXG5954N;0;0;0;0
DFGBZ4263K;0;0;0;0
QIAPB4422D;0;0;0;0
MVECY5031I;0;0;0;0
PMGLW9027D;0;0;0;0
RYNUR3746Q;0;0;0;0
LFZWV4299O;0;0;0;0
OTMDJ9990P;0;0;0;0
DAKSG2183H;0;0;0;0
SSPHW1679P;0;0;0;-1
HRGJP0818E;0;0;0;-1
DDJNG1257X;0;0;0;-1
YEZWN6767D;0;0;0;-2
PTNYH8489Y;140;63;14;145
SROHV3703B;24;14;9;4
HVMNF1380C;42;14;54;209
QBDIJ3750V;0;0;-1;0
YSQOW0506I;0;0;0;0
XQIWK6874G;222;333;162;319
SIGWN8266K;0;0;0;0
NDBVG3871D;39;-17;0;6
DLMNK7105M;254;439;331;538
WQDRC8400R;0;0;0;0
MWTHA7292L;39;66;68;55
MDHXY3151B;0;0;0;0
NKLNK2459D;7;0;3;0
SGTNA2209Y;0;0;0;0
NGEZK7998O;1;-14;2;10
FKFDR0712W;0;3;1;0
YSGPM4265Q;0;-6;0;0
VOKJG6462P;1;-7;0;2
VJVXX9887V;4;-11;3;0
MCEUI4487X;10;15;17;22
UIJVE4817K;0;0;0;0
FEBDM1083B;2;0;0;0
GNXJO5814O;0;0;0;0
JQVBM5503V;6;11;24;108
ELPTU6952V;35;26;42;38
KOHQT0296P;54;114;48;144
HITSC0875H;0;-60;31;25
EUIVQ4138E;34;92;52;19
RWHKL1629Q;0;0;0;0
QORVT5115S;0;-5;75;139
AYNFQ7714G;0;0;0;3
HRFTQ2551F;0;0;0;0
OCPPS7043Q;31;31;80;67
MZTRO4489H;0;0;0;0
HMNNX9366N;43;63;50;83
YFGRC0505Q;0;521;19;76
FLQKV7538O;0;0;0;0
DAUSB7758I;0;0;0;0
TKXCY8461A;0;0;0;0
GJIUU6397J;0;0;0;0
OXEVT9322W;0;0;0;0
DKJPJ4888M;0;0;0;0
CBVVW3399O;0;0;0;0
KKTNX4425L;0;-6;0;-1
GIXBO2684X;0;0;0;0
HXVJA4205Q;15;-19;4;-23
OXXMS6537J;36;-40;-1;27
VOWEU9978L;0;0;0;0
DGRFB2523N;39;66;0;0
RTACA6397V;0;0;0;0
SHTJX3143P;0;-22;-3;12
UJVUC8752G;0;-1;1;0
RCNOM4081C;0;0;0;0
MZHQK2061F;0;0;0;0
LZAIA0071C;0;0;0;-2
FMLAK3720L;10;-14;19;-10
BQLZB5851J;8;-3;3;3
TTAAU2208G;0;-12;0;1
VYPJW5340P;0;0;0;0
YBRLG8156Y;12;9;0;0
CKDNO6873W;0;-1;1;-1
CICCR4269E;487;593;709;2195
GAKUZ5558V;0;0;0;0
CYUDV2918Z;0;-2;0;0
ERTHN7957W;22;-29;28;-13
TILHC8987S;2;0;0;0
NOVPX1690G;13;11;10;12
JLSQF8594B;13;3;18;5
PLRGN4188P;0;0;0;0
AIFBD5912W;0;0;0;0
YEKRP6173J;91;67;40;196
UMYNI4884W;95;109;88;64
XJOWF9099M;5;-10;-1;30
DWJDG0329L;0;0;0;0
HFCVQ7482O;20;-1;4;-10
YZGOW9865M;0;-7;-2;2
IGMSJ5764Y;0;0;0;0
HSUXH3248R;0;0;0;0
TEPZH7782S;0;0;0;0
SLIID4646V;1;0;0;0
OAYHO4529H;0;0;0;0
TZHHH3234J;0;0;0;0
YIKIH8884U;0;0;0;0
MGMYF4081N;0;0;0;0
YVLDJ9106B;0;0;0;0
XADOQ9184O;160;83;161;161
UJKFM1171I;104;99;98;253
ULVSZ4468K;110;9;13;53
WSNPE6141Z;-6;-4;0;30
HZBWS7932T;0;0;0;0
LKGGJ9555A;0;-17;0;9
IKNBM7216Z;0;0;0;0
KKAJC0186V;0;0;0;0
XGXDH1702R;0;111;142;510
FFHGA9401J;48;10;22;17
UYKXY3254J;0;0;0;0
OVKUK0379H;76;-34;22;29
FFFQW7257P;0;0;0;0
JEVCC0854K;0;0;12;5
EIWGO2603H;0;-1;0;-4
AYZWS3617W;0;0;14;1
JLJRU0647Y;0;0;0;0
IBBRV1659P;2;-1;11;5
ZAWVA4147E;3;1;10;0
DILKW2658Z;0;0;0;0
HVXKX9956F;0;0;0;0
OJRBA0646J;0;0;0;0
AFYYR6011S;0;0;0;0
KWGIZ9395K;0;0;0;0
PYLRT3465V;0;0;0;0
HJWGF8811S;0;2;30;26
CMYBX0412W;0;0;0;0
GAXUP6391I;2;-4;0;2
WDHRN7350T;0;-5;1;1
OLKTR3866B;0;0;0;0
VHTKW9117S;0;0;0;0
QLQSQ8825S;0;35;16;32
VETEQ8172Z;0;18;9;22
CNDLJ6056C;0;0;0;0
