ПРОДАЖИ РУБ;янв.18;фев.18;мар.18;апр.18
ДОН ПЕЛАЙО, 0.7л., , 36%;86265;93657,87;79616,27;55427,58
ДОС МАДЕРАС ЛЮКСУС (п/у), 0.7л., , 40%;53928;-101596,99;-6969,98;587035,93
ДОС МАДЕРАС, 0.7л., , 37.5%;51436;0;11357,5;-21714
ДОС МАДЕРАС+БОКАЛ, 0.7л., , 37,5%;0;-17549,7;-5507,62;5795,1
Ж.ГУДУЛИН БА АРМАНЬЯК МИЛЛЕЗИМ 1973, 0.7л., , 40%;4548,6;0;0;0
ИЛЬ ВАЛОРЕ МОНТЕПУЛЬЧАНО Д' АБРУЦЦО, красное, сухое, 0.75л., 2016, 12%;58431,86;32191,73;59636,62;58460,62
ИЛЬ ВАЛОРЕ ТРЕББЬЯНО Д'АБРУЦЦО, белое, сухое, 0.75л., 2016, 12%;37403,74;36306,88;34485,4;84444,69
КАВА РЕЗЕРВА ДЕ ЛА ФАМИЛИЯ (п/у), белое, экстра, брют, 0.75л., , 12%;180549,9;20442,9;23904;88992,6
КАМПИЛЬО КРИАНСА, красное, сухое, 0.75л., 2014, 14%;-6148,8;-4392;0;36960
КАМПИЛЬО РЕЗЕРВА ЭСПЕСИАЛЬ, красное, сухое, 0.75л., 2008, 13.5%;0;-49557,04;0;32020,8
КИНТА ДА РОМАНЕЙРА ЛБВ ПОРТ, ликерное, 0.75л. , , 19,5%;0;0;76,96;0
КЛОСТЕР ЭБЕРБАХ РИСЛИНГ СЕКТ, белое, сухое, 0.75л., 2015, 12,5%;0;106526,1;142680;406925,04
КЛОСТЕР ЭБЕРБАХ ШПЕТБУРГУНДЕР, красное, полусухое, 0.75л., 2015, 12%;49947,82;11073,93;24663,8;18802
КОНДЕСА ДЕ ЛЕГАНСА ВЕРДЕХО, белое, сухое, 0.75л., 2016, 13%;0;-378;0;0
КОНДЕСА ДЕ ЛЕГАНСА РОСАДО, розовое, сухое, 0.75л., 2016, 13%;34612,2;-11188,12;10932,1;14814,34
КЮВЕ ДЕМИ СЬЕКЛЬ (ДЕР/КОР), 0.7л., , 40%;0;0;162742,5;68195,14
КЮВЕ ДЕМИ СЬЕКЛЬ, 0.7л., , 40%;0;-12102,4;0;-48409,6
КЮВЕ КАР ДЕ СЬЕКЛЬ (ДЕР/КОР), 0.7л., , 40%;0;0;138841,76;9425
КЮВЕ СЕНТЕНЕР (ДЕР/КОР), 0.7л., , 40%;90706;-41602;514923,36;238700
КЮВЕ ТРУА КАР ДЕ СЬЕКЛЬ (ДЕР/КОР), 0.7л., , 40%;66886,5;24123;250833,3;0
МАРКИЗ ДЕ ВИТОРИА КРИАНСА, красное, сухое, 0.75л., 2012, 13,5%;0;0;-35,43;0
МАУРО, красное, сухое, 0.75л., 2015, 14,5%;0;7486,5;89898,31;80033,75
ОССИАН КАПИТЕЛЬ, белое, сухое, 0.75л., 2014, 14%;9870;-17202;0;10575
ОССИАН, белое, сухое, 0.75л., 2014, 13,5%;0;-13115;3010;3010
ПРИМА, красное, сухое, 0.75л., 2015, 14,5%;0;39397,9;20585;39486,92
САН РОМАН, красное, сухое, 0.75л., 2014, 14,5%;0;48312;25960;60295,59
ТИФФОН VS, 0.5л., , 40%;97455;145586,34;70377,84;333325,63
ФАУСТИНО I ГРАН РЕЗЕРВА, красное, сухое, 0.75л., 2005, 13,5%;21483,4;9551,8;13822,4;33023,8
ФАУСТИНО V РЕЗЕРВА, красное, сухое, 0.75л., 2011, 13,5%;62617,5;16270,2;-20700;14028,09
ФАУСТИНО VII, белое, сухое, 0.75л., 2016, 12%;39396,6;23847,8;22312,48;602
ФАУСТИНО VII, красное, сухое, 0.75л., 2015, 13%;110377,03;-3927,18;2324,4;15413,52
ФИНКА 10 РИОХА КРИАНСА, красное, сухое, 0.75л, 2014, 13,5%;129122,1;120076,2;5617,35;116005,48
ФРАНКЕТТИ, красное, сухое, 0.75л., 2010, 15%;25620;-77165;0;14070
ФРАНКЕТТИ, красное, сухое, 0.75л., 2014, 15,5%;28060;0;525769,2;0
"ХЕРЕС ""ВИЛЬЯМС И ХАМБЕРТ"" ДОН ГИДО ПЕДРО ХИМЕНЕС СОЛЕРА ЭСПЕСИАЛЬ  20 лет, белое, ликёрное, 0.75л., , 18%";46722;30009,9;68461,84;53414,85
"ХЕРЕС ""ВИЛЬЯМС И ХАМБЕРТ"" ДОС КОРТАДОС ПАЛО КОРТАДО СОЛЕРА ЭСПЕСИАЛЬ 20 лет, белое, ликёрное, 0.75л., , 21,5%";30445,8;18110,4;27720;19635
"ХЕРЕС ""ВИЛЬЯМС И ХАМБЕРТ"" ДРАЙ САК СОЛЕРА ЭСПЕСИАЛЬ 15 лет, белое, ликёрное, 0.75л., , 20.5%";52957,6;33538,4;16408,8;21454,4
"ХЕРЕС ""ВИЛЬЯМС И ХАМБЕРТ"" ХАЛИФА АМОНТИЛЬЯДО СОЛЕРА ЭСПЕСИАЛЬ  30 лет, белое, ликёрное, 0.75л., , 19.5%";43032,3;18507,9;56132,65;308363,88
ХЕРЕС ДРАЙ САК п/у, белое, ликёрное, 0.75л., , 19,5%;41695;7094,82;8419,92;1976,48
ХЕРЕС КАНАСТА, белое, ликёрное, 0.75л., , 19.5%;24490;18161,83;12403,69;5084
АБРАУ-ДЮРСО БЛАН ДЕ БЛАН, выдержанное, белое брют, 0.75л., , 12%;0;81456,18;0;0
ВАЛЛЕ ДОРАДО КАБЕРНЕ СОВИНЬОН, красное, полусладкое, 0.75л, 2013, 13,5%;5492,04;5705,2;14565,6;3717,2
ДОМЕН ДЮ БЮИССОН РЕЗЕРВ, 0.7л., (П/У), 40%;6777,96;0;0;0
Ж.ГУДУЛИН БА АРМАНЬЯК МИЛЛЕЗИМ 1988, 0.7л., , 40%;6638,32;0;0;0
КАВА ГРАН ЖЮВЕ И КАМПС (п/у), белое, брют, 0.75л., 2012, 12%;17056,2;0;0;0
КИНТА ДА РОМАНЕЙРА ФАЙН РУБИ ПОРТ, ликерное, 0.75л. , , 19,5%;0;0;50,92;0
КОНТРАДА К, красное, сухое, 0.75л., 2015, 14%;53192;56364;0;34160
ЛУНАРЕ ГЕВЮРЦТРАМИНЕР, белое, полусухое, 0.75л., 2013, 15%;0;11468;0;0
ПАЛАЦЦИ, красное, сухое, 0.75л., 2012, 15%;0;0;0;93944,1
ПАЛАЦЦИ, красное, сухое, 0.75л., 2014, 14,5%;12530;0;478394,22;0
ПАПАЛЕ ЛИНИЯ ОРО, красное полусухое, 0.75л., 2014, 14,5%;217648;-31971,16;88267;52205,83
ПАПАЛЕ, красное, полусухое, 0.75л., 2015, 14%;2360,7;0;0;0
ПИНО НУАР БАРРИК ДОМЕН ЖАН-МАРК БЕРНАР, красное, сухое, 0.75л., 2012, 13,5%;1008,61;0;0;0
ПРЕМИУМ, выдержанное, брют, белое, 0.75л., , 12%;0;7154,88;0;0
ПРЕМИУМ, выдержанное, брют, розовое, 0.75л., , 12%;0;3577,44;0;0
ПРЕМИУМ, выдержанное, экстра брют, белое, 0.75л., , 12%;0;7154,88;0;0
ТЕНУТА ДИ ТРИНОРО, красное, сухое, 0.75л., 2010, 16%;0;17250;206661,72;103500
ТЕНУТА ДИ ТРИНОРО, красное, сухое, 0.75л., 2011, 16,5%;29480;57200;208978,44;0
ТЕНУТА ДИ ТРИНОРО, красное, сухое, 0.75л., 2012, 16%;0;0;181176,48;0
ТЕНУТА ДИ ТРИНОРО, красное, сухое, 0.75л., 2013, 14,5%;39999;-12139;177812,32;27860
ТЕНУТА ДИ ТРИНОРО, красное, сухое, 0.75л., 2014, 14,5%;0;-11895;2081149,2;0
ФАУСТИНО VI РИОХА КРИАНСА, красное, сухое, 0.75л., 2014, 13,5%;15560,9;19509,9;39747;15187,98
ФРАНКЕТТИ, красное, сухое, 0.75л., 2011, 15%;10370;21760;10370;0
ФРАНКЕТТИ, красное, сухое, 0.75л., 2012, 15,5%;8308;16616;0;25296
ФРАНКЕТТИ, красное, сухое, 0.75л., 2013, 15,5%;0;7973;0;0
БАРОЛО МАРЧЕНАСКО РЕНАТО РАТТИ, красное, сухое, 0.75л., 2013, 14%;113692,8;69852,52;43368;100089,6
БАРОЛО РОККЕ ДЕЛЛЬ' АННУНСИАТА, красное, сухое, 0.75л., 2013, 14%;23161;24136,2;45712,5;2803,7
ДАНТЕ ДИ ФЕРЕНЦА КЬЯНТИ РИЗЕРВА, красное, сухое, 0.75л., 2014, 12,5%;167769,21;133665,48;158712,65;206353,97
ДОМЕН ДЕ ФОРЖ БОН БУА, 0.7л., , 40%;39912,18;15204,64;96929,58;0
Ж.ГУДУЛИН БА АРМАНЬЯК МИЛЛЕЗИМ VS, 0.7л. (П/У), , 40%;26711,28;83617,92;73165,68;33679,44
ИЛЬ ВАЛОРЕ ОРВЬЕТО КЛАССИКО, белое, сухое, 0.75л., 2016, 12%;24803,82;11309,46;30280,14;46126,38
КАВА ЖЮВЕ И КАМПС СИНТА ПУРПУРА РЕЗЕРВА, белое, брют, 0.375л., , 12%;25370,85;-7975,05;0;10503,95
КАВА РЕЗЕРВА ДЕ ЛА ФАМИЛИЯ, белое, экстра, брют, 3л., , 12%;71465,7;-6886,9;0;37903,9
КИНТА ДА РОМАНЕЙРА ФАЙН УАЙТ ПОРТ, ликерное, 0.75л. , , 19,5%;0;0;1344,48;0
КИНТАЛУНА, белое, сухое, 0.75л., 2016, 13,5%;17776;22064;-14992;34272
КЛОСТЕР ЭБЕРБАХ РИСЛИНГ КЛАССИК, белое, полусухое, 0.75л., 2016, 12,5%;148005,25;106951;127608,72;238076,32
КУБАНЬ. НОВОРОССИЙСК. СОВИНЬОН БЛАН. СИКОРЫ, белое, сухое. 0.75л., 2016, 14%;18759;30428,92;41795;69316
КУБАНЬ. НОВОРОССИЙСК. ШАРДОНЕ. СИКОРЫ, белое, сухое. 0.75л., 2016, 14%;21086;34242;19539;84448
ЛА ПЕРЛАРА РЕЧОТО ДИ СОАВЕ КА'РУГАТЕ, белое, сладкое, 0.5л., 2013, 13,5%;0;0;-10482,8;0
МИЛАМОРЕ, красное, полусухое, 0.75л., 2015, 13,5%;55692;44208;11952;121353,18
ПАЛАЦЦИ, красное, сухое, 0.75л., 2010, 15.5%;0;-68538,26;16240;56608
ПЕЙРА  ХО, 0.7л., , 40%;107659,3;0;0;0
ПУНТО ФИНАЛ КАБЕРНЕ СОВИНЬОН, красное, сухое, 0.75л., 2016, 13%;28561,5;-4753,98;13998;202718,52
ПУНТО ФИНАЛ МАЛЬБЕК РЕЗЕРВА, красное, сухое, 0.75л., 2015, 13,5%;75335,4;149629,46;37587,4;165784,39
ПУНТО ФИНАЛ МАЛЬБЕК, красное, сухое, 0.75л., 2016, 13%;152403,57;203961,56;190029,9;361026,82
СОАВЕ КЛАССИКО САН МИКЕЛЕ КА'РУГАТЕ, белое, сухое, 0.75л., 2016, 12%;20264,4;-27315,6;452,4;16957,2
СОФИЯ СЕМИГОРЬЕ, белое, сухое, 0.75л, 2015, 13,3%;22402,5;29145;6900;17712,56
ТРАДИЦИИ АЛАВЕРДИ БАДАГОНИ, красное, сухое, 0.75л., , 14%;17380,6;87780,38;15157,5;114102,38
ЭЛЬ ЭРМИТАЖ БОРДЕРИ (п/у), 0.7л., , 40%;9362,72;32769,52;35110,2;0
АВЕ РОСА КАБЕРНЕ СОВИНЬОН, красное, сухое, 0.75л, 2013, 13%;0;0;0;161,76
АРЗУАГА РЕЗЕРВА, красное, сухое, 1.5л., 2011, 14%;67783,2;8472,9;0;0
ИСТОРИИ ИТАЛИИ МОНТЕПУЛЬЧАНО Д'АБРУЦЦО, красное, сухое, 0.75л, , 13%;0;3515;11949;3531,14
ИСТОРИИ ИТАЛИИ ПИНО ГРИДЖИО ДЕЛЛЕ ВЕНЕЦИЯ, белое, сухое, 0.75л, , 12%;301,5;1554;8500,96;3404,41
ИСТОРИИ ИТАЛИИ САНДЖОВЕЗЕ МЕРЛО РУБИКОНЕ, красное, сухое, 0.75л, , 12%;0;12196;14360;0
ИСТОРИИ ИТАЛИИ ТРЕББЬЯНО ШАРДОНЕ РУБИКОНЕ, белое, сухое, 0.75л, , 12%;0;8497,07;10480,74;2951,3
КАМПИЛЬО ГРАН РЕЗЕРВА, красное, сухое, 0.75л., 2009, 14%;8855;17339,42;16913,92;25596,67
КАМПО ДИ МАГНАКОСТА, красное, сухое, 0.75л., 2014, 15%;0;0;8700;0
КОНДЕСА ДЕ ЛЕГАНСА ТЕМПРАНИЛЬО, красное, сухое, 0.75л., 2015, 13,5%;68725,53;721,44;33792,45;30560,14
КОНЬЯК ДЮ БЮИССОН ВС, 0.350л., , 40%;119838,4;15728,79;56174,27;37449,56
КУБАНЬ НОВОРОССИЙСК МЕРЛО СЕМИГОРЬЕ, красное, сухое, 0.75л., 2014, 14,5%;0;0;-508,95;0
КЮВЕ СЕНТЕНЕР, 0.7л., , 40%;0;0;931112,16;0
МАРКЕЗИ ДЕЛЬ САЛЕНТО ПРИМИТИВО, красное, полусухое, 0.75л., 2016, 13%;144303,15;123016,95;241192,61;392973,27
МАРКИЗ ДЕ ВИТОРИА РЕЗЕРВА, красное, сухое, 0.75л., 2012, 14%;29248,6;44409,9;-23807;16163,7
МАРКИЗ ДЕ ВИТОРИА ЭККО, красное, сухое, 0.75л., 2016, 13,5%;26918,1;2237,4;7088,4;45025,2
МОНТЕРИО, белое, сухое, 3л., , 11,5%;13025;23800;9424,51;21799,51
ПАССОРОССО, красное, сухое, 0.75л., 2015, 13,5%;39814,2;48358,8;9073,56;14089,5
СИБИРЬКОВЫЙ, белое, сухое, 0.75л., 2015, 12,5%;59868,2;68584,8;40676,4;8979
ФИНКА 10 ТЕМПРАНИЛЬО РИОХА, красное, сухое, 0.75л, 2016, 13%;39035,85;52664,8;44701,95;45331,5
ШАМПАНЬ ДЬЕБОЛЬТ-ВАЛЛУА БЛАН ДЕ БЛАН МИЛЛЕЗИМ, белое, брют, 0.75л., 2002, 12,5%;0;12139;0;0
ШАМПАНЬ ДЬЕБОЛЬТ-ВАЛЛУА БЛАН ДЕ БЛАН МИЛЛЕЗИМ, белое, брют, 0.75л., 2010, 12,5%;32290,5;37095,04;63327;43325,7
ШАМПАНЬ ДЬЕБОЛЬТ-ВАЛЛУА БЛАН ДЕ БЛАН, белое, брют, 0.75л., , 12,5%;28975;6157,3;72437,5;52155
ШАМПАНЬ ДЬЕБОЛЬТ-ВАЛЛУА ТРАДИСЬОН, белое, брют, 0.75л., , 12,5%;36362,4;21042,96;24477,9;16846,8
ШАТО ЛЕ БЕРТРАН, белое, сухое, 0.75л., 2016, 13%;13219,23;13644,47;60990,98;35346,48
ЭЛЬ НИНЬО ДЕ КАМПИЛЬО РИОХА, красное, сухое, 0.75л, 2016, 14%;26708;-990;19866;8982,04
075 КАРАТИ ПРОСЕККО, белое, сухое, 0.75л., , 11%;355837,34;49548,48;100700,16;353544,54
12 Э МЕЦЦО МАЛЬВАЗИЯ, белое, полусухое, 0.75л., 2016, 12,5% (НГ);6030,37;21212,1;3457,61;1727,46
12 Э МЕЦЦО НЕГРОАМАРО, красное, полусухое, 0.75л., 2015, 12,5% (НГ);8631,1;71839,95;5913,95;2534,55
12 Э МЕЦЦО ПРИМИТИВО, красное, полусухое, 0.75л., 2015, 12,5% (НГ);73884,1;85169,43;6648;0
ААЛЬТО П.С. РИБЕРА ДЕЛЬ ДУЭРО, красное, сухое, 0.75л., 2015, 15%;131780,4;-13584,54;26634;-14127,6
ААЛЬТО РИБЕРА ДЕЛЬ ДУЭРО, красное, сухое, 0.75л., 2015, 14,5%;198652,28;143170,3;73317,97;201671,24
"АНЖУ ВИЛЛЯЖ ""ЭКСПРЕССЬОН"", красное, сухое, 0.75л., 2015, 13,5%";53307,95;8158,92;102926,92;3765,66
АНРИ БУДО, красное, сухое, 0.75л., 2015, 15,5%;47951,27;24313,32;10178,14;1350,74
АРЗУАГА РОСАЕ розовое, сухое, 0.75л., 2016, 13%;34153,2;34403,21;14785,4;23690,33
АРИЯ КЬЯНТИ КЛАССИКО, красное, сухое, 0.75л., 2015, 13,5%;48281,6;36873,6;54096;89066,2
БУРГОНЬ ПИНО НУАР КОЛЕН-БУРИССЕ, красное, сухое, 0.75л. , 2015, 13%;153546,32;186054,01;55332,02;0
ВИЗАНА, красное, сухое, 0.75л., 2012, 15%;24678,28;22434,8;27482,63;38700,03
ВИЛЛА ЛУЧИА ТОСКАНА, белое, сухое, 0.75л., 2016, 12%;79422,31;132748,2;200079,15;264939,19
ГЕВЮРЦТРАМИНЕР ВЬЕЙ ВИНЬ ДОМЕН ЖАН-МАРК БЕРНАР, белое, полусухое, 0.75л., 2016, 13,5%;212053,84;58327,28;0;-738,32
ГРАППА ДИ МОСКАТО, 0.7л., , 40%;36074,5;15810,67;58597;18428,67
ГРАППА РИЗЕРВА ДЕЦЕМ (П/У), 0.7л., , 44%;132039;-36567;0;33660
ДОМЕЙН ДЕ ЛЯ ПЕРЬЕР, 0.7л.,  40%;9509,44;9509,44;0;9509,44
ДОМЕН БУДО МУСКАТ ДЕ РИВЗАЛЬТ, белое, ликерное, 0.75л., 2016, 15,5%;54490,59;0;9199,71;14861,07
ДОМЕН БУДО ПАДРИ, красное, сухое, 0.75л., 2015, 15,5%;50617,2;30370,32;17716,02;30370,32
ДОМЕН БУДО РИВЗАЛЬТ ГРЕНА СЮР ГРАН, красное, ликерное, 0.75л., 2015, 15,5%;20543,78;15802,96;11852,2;10271,9
Ж.ГУДУЛИН БА АРМАНЬЯК МИЛЛЕЗИМ 1971, 0.7л., , 40%;4880,81;0;0;0
Ж.ГУДУЛИН БА АРМАНЬЯК МИЛЛЕЗИМ 1978, 0.7л., , 40%;7707,56;0;0;0
Ж.ГУДУЛИН БА АРМАНЬЯК МИЛЛЕЗИМ 1983, 0.7л., , 40%;3450,4;0;0;0
Ж.ГУДУЛИН БА АРМАНЬЯК МИЛЛЕЗИМ VSOP, 0.7л. (П/У), , 40%;27109,22;20730,58;22325,24;23919,9
ЗУРИ, белое, полусухое, 0.75л., 2016, 11%;45320;34820,6;32491,4;264805,62
КАБЕРНЕ Д'АНЖУ ШАМ Д'УАЗО, розовое, полусладкое, 0.75л., 2016, 11,5%;59616;3206,18;13537,14;14962,24
КАВА ГРАН ЖЮВЕ И КАМПС (п/у), белое, брют, 0.75л., 2013, 12%;16665,6;9765;8332,8;0
КАВА ЖЮВЕ И КАМПС СИНТА ПУРПУРА РЕЗЕРВА (1 бут. из набора 2*0.75), белое, брют, 0.75л., , 12%;0;0;1067,5;0
КАЙЕТАНА ФРЭШ, белое, полусладкое, 0.75л., 2015, 11%;27412,67;5400;10500;16500
КОНДЕСА ДЕ ЛЕГАНСА ВЕРДЕХО, белое, сухое, 0.75л., 2016, 12,5%;60689,94;12131,82;4265,78;2570,4
КОНЬЯК ДЮ БЮИССОН ВСОП, 0.7л., , 40%;15373,49;0;0;0
КОТ ДЮ РОН КОЛЕН-БУРИССЕ, красное, сухое, 0.75л., 2015, 14%;98257,67;66281,3;63475,17;2729,23
КОТО ДЮ ЛАЙОН ЛЕ ОНДИН, белое, сладкое, 0.75л., 2015, 11%;156465,27;17385,03;28975,05;15453,36
КРЕМАН Д'ЭЛЬЗАС БРЮТ РЕЗЕРВ ДОМЕН ЖАН-МАРК БЕРНАР, белое, брют, 0.75л., 2015, 12%;89767,42;70275,92;54105,99;26353,47
КРОЗ ЭРМИТАЖ КОЛЕН-БУРИССЕ, красное, сухое, 0.75л., 2016, 13%;41666,8;0;0;0
КЮВЕ СЕНТЕНЕР ЛИМИТЕД ЭДИШН (ДЕР/КОР), 0.7л. , , 40%;48230;0;0;0
ЛАГРЕЙН ГРИС РИЗЕРВА, красное, сухое, 0.75л., 2015, 13,5%;62407,8;68427,6;29717,6;46486,6
ЛЕ КУПОЛЕ ТЕНУТА ДИ ТРИНОРО, красное, сухое, 0.75л., 2015, 14,5%;196549,95;350327,5;56202;1229993,24
ЛУНАРЕ ГЕВЮРЦТРАМИНЕР, белое, полусухое, 0.75л., 2015, 15%;86527;27401;3290;17202
ЛЯ ФОРЭ VSOP, 0.7л., , 40%;175755,37;70994,78;0;0
МОНТИКОЛЬ ПИНО НУАР РИЗЕРВА, красное, сухое, 0.75л., 2015, 14,5%;44745;86499,6;91071,04;107555,08
НЕББИОЛО Д'АЛЬБА ОКЕТТИ РЕНАТО РАТТИ, красное, сухое, 0.375л., 2016, 14%;12082,35;4364,15;4674,95;14137,07
НЕББИОЛО Д'АЛЬБА ОКЕТТИ РЕНАТО РАТТИ, красное, сухое, 0.75л., 2016, 14%;95641,6;66841,6;47053,2;123856,19
ОССИАН, белое, сухое, 0.75л., 2013, 13,5%;0;0;-17294,04;18060
ПАПАЛЕ, красное, полусухое, 0.75л., 2016, 14%;87249,15;26596,76;55669,95;49123,4
ПИНО БЛАН ДОМЕН ЖАН-МАРК БЕРНАР, белое, сухое, 0.75л., 2016, 12%;60202,24;56977,12;44614,16;24188,4
ПИНО БЬЯНКО ФОРБЕРГ РИЗЕРВА, белое, сухое, 0.75л., 2015, 14%;22530,3;43744,92;31457,4;8159,64
ПИНО ГРИ ПАРТИКУЛЬЕР ДОМЕН ЖАН-МАРК БЕРНАР, белое, полусухое, 0.75л., 2016, 13%;84084,64;66348,03;30874,79;104448,73
ПИНО НУАР БАРРИК ДОМЕН ЖАН-МАРК БЕРНАР, красное, сухое, 0.75л., 2016, 12%;55473,55;0;0;0
ПИНО НУАР ТЕРЛАНО, красное, сухое, 0.75л., 2016, 13,5%;39663;85008,18;88426,26;66916,74
ПТИ ШАБЛИ, белое, сухое, 0.75л., 2016, 12%;96694,82;85076,34;152400,14;70752,89
РАБИА, красное, сухое, 0.75л., 2014, 14,5%;75806,28;102010,92;56904,15;47729,88
РЕМОРДИМЬЕНТО, красное, сухое, 0.75л., 2014, 14,5%;70754,4;71344,02;23584,8;18867,84
РИСЛИНГ ВЬЕЙ ВИНЬ ДОМЕН ЖАН-МАРК БЕРНАР, белое, полусухое, 0.75л., 2016, 12%;57808,12;0;0;-656,91
РОЗЕ ДЕ ЛУАР ШАМ Д'УАЗО, розовое, сухое, 0.75л., 2016, 12,5%;48693,72;59377,06;48693,72;43932,16
РОЗЕ СИРА, розовое, полусладкое, 0.75л., 2015, 11%;11945,07;0;0;0
РОМ СЕЗОН, 0.7л., (П/У), 42%;94954,23;83638,71;19932,47;0
САВИБА БЛАНКО, белое, сухое, 0.75л., 2015, 13%;13514,18;16739,8;27979,38;0
САВИБА ТИНТО, красное, сухое, 0.75л., 2015, 14%;33563,68;46871,44;5739,36;0
СИБИРЬКОВЫЙ, белое, сухое, 0.75л., 2016, 12,5%;103389,75;75904,18;130655,25;322426,48
СОАВЕ КЛАССИКО МОНТЕ ФИОРЕНТИНЕ КА'РУГАТЕ, белое, сухое, 0.75л., 2016, 12,5%;0;13883,35;39494;8221,2
ТЕРЛАНЕР НОВА ДОМУС РИЗЕРВА, белое, полусухое, 0.75л., 2015, 14,5%;9870;20915;19740;101367,94
ФАТА, красное, сухое, 0.75л., 2015, 13%;24705;8235;23220;0
ФАУСТИНО VII, белое, сухое, 0.75л., 2015, 12%;3199,2;0;0;602
ФАУСТИНО VII, красное, сухое, 0.187л., 2013, 13%;1688,05;0;0;0
ФАУСТИНО VII, красное, сухое, 0.75л., 2013, 13%;3810,6;0;0;0
ФАУСТИНО VII, розовое, сухое, 0.75л, 2015, 13%;27308,04;0;0;1806
ФИНКА ВЬЕХА БЛАНКО, белое, сухое, 0.75л., 2016, 11,5%;50108,4;17084,95;54161,04;23366,4
ФИНКА ВЬЕХА ТЕМПРАНИЛЬО, красное, сухое, 0.75л., 2016, 13%;47130,65;50077,02;69441,42;90458,45
ФОХО КЬЯНТИ КЛАССИКО РИЗЕРВА, красное, сухое, 0.75л., 2014, 13,5%;35865,36;11406,72;45861,84;7567,92
ХОПЛЕР БЛАУФРАНКИШ, красное, полусухое, 0.75л., 2013, 13,5%;56462,72;0;0;-733,28
ХОПЛЕР ГРЮНЕР ВЕЛЬТЛИНЕР, белое, сухое, 0.75л., 2016, 12,5%;52864,66;45799,64;5353,22;-594,8
ХОПЛЕР РИСЛИНГ, белое, полусухое, 0.75л., 2015, 12%;52020,21;0;0;-835,43
ХОПЛЕР СЕН-ЛОРАН ЕРВАЙН, красное, сухое, 0.75л., 2013, 13%;38828,52;4469,04;744,84;744,84
ШАБЛИ ПРЕМЬЕР КРЮ МОНТЕ ДЕ ТОННЕР, белое, сухое, 0.75л., 2016, 13%;67300,2;42144,3;14820,3;0
ШАБЛИ, белое, сухое, 0.375л., 2016, 12,5%;11442,5;862,5;8855;24656
ШАБЛИ, белое, сухое, 0.75л., 2016, 12,5%;155814,49;95125,2;191098;0
ШАМПАНЬ ДЬЕБОЛЬТ-ВАЛЛУА БЛАН ДЕ БЛАН МИЛЛЕЗИМ, белое, брют, 1.5л., 2010, 12,5%;16348;8174;0;0
ШАМПАНЬ ДЬЕБОЛЬТ-ВАЛЛУА БЛАН ДЕ БЛАН, белое, брют, 0.375л., , 12,5%;19794,5;-11574,99;0;3599
ШАМПАНЬ ДЬЕБОЛЬТ-ВАЛЛУА БЛАН ДЕ БЛАН, белое, брют, 1.5л., , 12,5%;0;0;0;12871
ШАМПАНЬ ДЬЕБОЛЬТ-ВАЛЛУА БРЮТ ПРЕСТИЖ, белое, брют, 1.5л., , 12,5%;0;-24869,7;0;0
ШАТО ЛЯ ВЕРНАЛЬ ПУЙИ ФЮИССЕ  КОЛЕН-БУРИССЕ, белое, сухое, 0.75л., 2014, 13%;66196,63;25425,8;0;0
ЭЛЬ СЕНТИДО ДЕ ЛА ВИДА, красное, сухое, 0.75л., 2013, 14%;42991,28;49181,58;9994,64;10929,24
ЭЛЬ ТЬЕМПО КЕ НОС УНЕ МОНАСТРЕЛЬ, красное, сухое, 0.75л., 2016, 14,5%;26761,78;24376,24;35558,06;0
ЭЛЬ ТЬЕМПО КЕ НОС УНЕ, красное, сухое, 0.75л., 2016, 14,5%;54474,61;64723,12;8239,86;9246,16
ЭМПЕРАДОР ДЕ БАРРОС КАЙЕТАНА, белое, сухое, 0.75л., 2015, 13%;4825,35;0;0;0
ЭМПЕРАДОР ДЕ БАРРОС ТЕМПРАНИЛЬО РОБЛЕ, красное, сухое, 0.75л., 2014, 15%;63725,85;5495,52;15799,62;22669,14
ЭМПЕРАДОР ДЕ БАРРОС ТЕМПРАНИЛЬО, красное, сухое, 0.75л., 2015, 15%;18409,11;0;0;0
АРЗУАГА КРИАНСА, красное, сухое, 0.375л., 2015, 14,5%;7560;24048;17100;59721,87
АРЗУАГА КРИАНСА, красное, сухое, 1.5л., 2014, 14,5%;18260;38969,32;33532;41334
ГРАППА РИЗЕРВА 140 АННИВЕРСАРИО, 0.7л., , 40%;28156,3;0;0;0
ДОМДЕШАН ВЕРНЕР РИСЛИНГ КЛАССИК, белое, полусухое, 0.75л., 2016, 12,5%;15498;27441,66;3751,5;58007,36
ДОМДЕШАН ВЕРНЕР РИСЛИНГ ТРОКЕН, белое, полусухое, 0.75л., 2016, 13,5%;22630;19084,46;36936,5;25032,5
ДОМДЕШАН ВЕРНЕР ХОХХАЙМЕР ДОМДЕШАНАЙ РИСЛИНГ ТРОКЕН (Grosses Gewachs), белое, полусухое, 0.75л., 2015, 14%;24979,5;7189;19110;0
ДОМДЕШАН ВЕРНЕР ХОХХАЙМЕР КИРХЕНШТЮК РИСЛИНГ ТРОКЕН (Erste Lage), белое, полусухое, 0.75л., 2015, 14,5%;21303;9882;9450;15120
ДОМДЕШАН ВЕРНЕР ХОХХАЙМЕР ХЁЛЛЕ РИСЛИНГ КАБИНЕТ, белое, сладкое, 0.75л., 2016, 10%;15006;26498,66;7503;2841,86
