ПРОДАЖИ РУБ;янв.18;фев.18;мар.18;апр.18
ГУБЕРНАТОРСКОЕ ГОЛУБОК, красное, сухое, 0.75л., 2016, 11,5%;86912,86;53245,6;70492,3;115579,77
ГУБЕРНАТОРСКОЕ РИСЛИНГ, белое, сухое, 0.75л., , 12%;26051,26;5379,9;17079,8;23889,24
ГУБЕРНАТОРСКОЕ РКАЦИТЕЛИ, белое, сухое, 0.75л., 2014, 13%;5787,76;-213,3;5458,9;10341,1
ДАНТЕ ДИ ФЕРЕНЦА КЬЯНТИ РИЗЕРВА, красное, сухое, 0.75л., 2013, 12,5%;0;-1424;1085,8;0
ДАНТЕ ДИ ФЕРЕНЦА КЬЯНТИ, красное, сухое, 0.75л., 2015, 12%;98814,86;175990,62;159756,2;989075,43
ДАНТЕ ДИ ФЕРЕНЦА МАРЕММА ТОСКАНА, красное, сухое, 0.75л., 2015, 13%;142643,72;160666,04;246111,84;280955,56
ДОМДЕШАН ВЕРНЕР РИСЛИНГ КЛАССИК, белое, полусухое, 0.75л., 2012, 12%;4483,5;0;-3280,76;0
ДОН УГО ВИУРА, белое, сухое, 0.75л. , 2016, 12%;76373,34;46871,3;63181,95;83721,83
ДОН УГО ТЕМПРАНИЛЬО, красное, сухое, 0.75л. , 2015, 13%;92437,99;100157,19;103566,19;125084,27
ЖАН ШТОДДЕН ШПЕТБУРГУНДЕР JS, красное, сухое, 0.75л., 2011, 13%;0;-40783,26;0;44627,8
ЖАН ШТОДДЕН ШПЕТБУРГУНДЕР, красное, сухое, 0.75л., 2013, 13%;11996,6;-13583,64;13778,8;17093,59
ЗЛАТНА ДУНЬЯ (П/У), 0.7л., , 40%;10600;-2727,97;67344,34;19027
ЗЛАТНА ДУНЬЯ, 0.7л., , 40%;263119,14;72072,07;206213,28;145325
ИЗОЛА ГРИЛЛО СИЦИЛИЯ, белое, сухое, 0.75л., 2016, 12,5%;37486,8;39180,72;36671,4;62248,64
ИЗОЛА НЕРО Д'АВОЛА СИЦИЛИЯ, красное, сухое, 0.75л., 2016, 13%;33754,8;39641,1;43282,92;29721,6
ИЛЬ ВАЛОРЕ ПИНО НЕРО , красное, сухое, 0.75л., 2016, 13%;25134,31;15863,1;38544,55;72492,57
КАБЕРНЕ СОВИНЬОН (ВЫДЕРЖАННОЕ), красное, сухое, 0.75л., 2014, 14,5%;88099,32;32741;80047,66;191240,6
КАБЕРНЕ ФРАН СЕМИГОРЬЕ РЕЗЕРВ, красное, сухое, 0.75л., 2015, 13%;22134;-26539,59;20840,01;24039
КАБЕРНЕ ФРАН, красное, сухое. 0.75л (ГС), 2015, 13%;28800;156000;38400;81600
КАВА ЖЮВЕ И КАМПС РОЗЕ, розовое, брют, 0.75л., , 12%;114399;43358;119396;136044,5
КАВА ЖЮВЕ И КАМПС СИНТА ПУРПУРА РЕЗЕРВА, белое, брют, 0.75л., , 12%;0;85302,45;107411,7;48448,11
КАВА РЕЗЕРВА ДЕ ЛА ФАМИЛИЯ, белое, экстра, брют, 0.75л., , 12%;15014,7;18177;1593,6;46986,3
КАВА РЕЗЕРВА ДЕ ЛА ФАМИЛИЯ, белое, экстра, брют, 1.5л., , 12%;37495,68;-16652,16;59811,84;14329,92
КАВА ФАУСТИНО, белое, экстра сухое, 0.75л., (П/У) , 11.5%;792,2;5009,5;0;0
КАМПИЛЬО ГРАН РЕЗЕРВА, красное, сухое, 0.75л., 1994, 13,5%;140024;-36759,7;23138;15870
КАМПИЛЬО ГРАН РЕЗЕРВА, красное, сухое, 0.75л., 2005, 13,5%;0;-37702,84;0;18392
КАМПИЛЬО РЕЗЕРВА, красное, сухое, 0.75л., 2011, 14%;-9760;0;0;43520,46
КАМПО ДИ ТЕНАЛЬЯ, красное, сухое, 0.75л., 2014, 14,5%;0;-30195;0;24156
КАМПО ЛАВЕЙ ВАЛЬПОЛИЧЕЛЛА СУПЕРИОРЕ КА'РУГАТЕ, красное, сухое, 0.75л., 2014, 14,5%;8540;-16441,96;0;2135
КИНДЗМАРАУЛИ БАДАГОНИ, красное, полусладкое, 0.75л., , 12%;212363,2;166814,5;121923,15;248520,32
КИНТА АПОЛОНИЯ, белое, сухое, 0.75л., 2016, 13,5%;0;-3096;-22500;21960
КИНТА ДА РОМАНЕЙРА ФАЙН ТОНИ ПОРТ, ликерное, 0.75л. , , 19,5%;0;0;101,84;0
КИНТАЛУНА, белое, сухое, 0.75л., 2015, 14%;0;0;-6539,7;0
КОНЁК-ГОРБУНОК ВИОНЬЕ, белое, сухое, 0.75л, 2015, 13%;7200;52800;12000;43200
КРАСНОСТОП ЗОЛОТОВСКИЙ (ВЫДЕРЖАННОЕ), красное, сухое, 0.75л., 2014, 15%;300270;208175,65;359234,73;344823,84
КРЕМАН Д'ЭЛЬЗАС БРЮТ РЕЗЕРВ ДОМЕН ЖАН-МАРК БЕРНАР, розовое, брют, 0.75л., 2013, 12%;77072,55;63438,39;39369,09;2349,57
КРЕМАН ДЕ БУРГОНЬ КОЛЕН БУРИССЕ, белое брют, 0.75л., , 12%;114349,41;92942,57;86694,33;24992,96
КУБАНЬ НОВОРОССИЙСК ПИНО НУАР СЕМИГОРЬЕ, красное, сухое, 0.75л., 2014, 14,5%;0;0;-508,95;0
КУБАНЬ. НОВОРОССИЙСК. СЕМИГОРЬЕ. ПИНО НУАР. СИКОРЫ, красное, сухое. 0.75л., 2015, 13,5%;46618;793;0;0
КУБАНЬ. НОВОРОССИЙСК. СЕМИГОРЬЕ. РИСЛИНГ. СЕМЕЙНЫЙ РЕЗЕРВ 2, белое, сухое. 0.75л., 2014, 13%;56760;91855,6;82082;98733,4
КУБАНЬ. НОВОРОССИЙСК. СЕМИГОРЬЕ. РИСЛИНГ. СИКОРЫ, белое, сухое. 0.75л., , 13%;60224;109959;90773,5;90292,94
КУБАНЬ. НОВОРОССИЙСК. ШАРДОНЕ. СИКОРЫ, белое, сухое. 0.75л., 2015, 13,5%;0;0;-1040;0
ЛА ПЕРЛАРА РЕЧОТО ДИ СОАВЕ КА'РУГАТЕ, белое, сладкое, 0.5л., 2014, 13,5%;17940;5460;2652;10920
ЛА ПЛАНТА, красное, сухое, 0.75л., 2016, 14,5%;373101,86;487005,52;662008,41;1405700,16
ЛАГРЕЙН РОЗЕ, розовое, сухое, 0.75л., 2016, 13,5%;10644,6;11837,8;17898;15119,1
ЛЕ КУПОЛЕ ТЕНУТА ДИ ТРИНОРО, красное, сухое, 1.5л., 2014, 14%;36081,5;15463,5;0;46475
ЛУНАРЕ ГЕВЮРЦТРАМИНЕР, белое, полусухое, 0.75л., 2014, 15%;9729;12737;0;0
МАРКЕЗИ ДЕЛЬ САЛЕНТО НЕГРОАМАРО, красное, полусухое, 0.75л., 2015, 13%;88853,68;91496,92;43211,45;0
МАРКИЗ ДЕ ВАЛЬКАРЛОС КРИАНСА, красное, сухое, 0.75л., 2008, 13.5%;741;0;0;0
МАРКИЗ ДЕ ВИТОРИА ГРАН РЕЗЕРВА, красное, сухое, 0.75л., 2008, 14%;0;-6832;-11710,62;2986,28
МАРКИЗ ДЕ ВИТОРИА КРИАНСА, красное, сухое, 0.75л., 2014, 13,5%;20788,92;-3254,4;-25603,72;2781,6
МАРКИЗ ДЕ ВИТОРИА ЭККО, красное, сухое, 0.75л., 2015, 14%;0;0;-720,8;0
МЕРЛО СЕМИГОРЬЕ РЕЗЕРВ, красное, сухое, 0.75л., 2015, 14,5%;5456;-29297,16;20446,12;7808
МОНТЕПУЛЬЧАНО Д'АБРУЦЦО, красное, полусухое, 0.75л., 2015, 14%;90101,91;59678,36;403458,86;156032,29
МОНТЕПУЛЬЧАНО Д'АБРУЦЦО, красное, полусухое, 1.5л., 2015, 14%;0;118319,45;73619,1;13135,2
МОНТЕРИО, белое, полусладкое, 0.75л., , 12%;17123,25;31285,1;38959,3;42746,52
МОНТЕРИО, красное, полусладкое, 0.75л., , 13%;50323,63;38009,1;102950,8;47538,12
МОНТЕРИО, красное, сухое, 3л., , 13%;28623,04;42406,62;30247,06;12585,05
