Sales RUB;июл.17;авг.17;сен.17;окт.17;ноя.17;дек.17
RWZXN6396E;0;0;0;-3461,2;0;0
CVVYE2780D;0;0;0;1950,27;7801,08;175047,81
WOTZZ6947V;0;0;0;12854,06;4193,82;0
PPBVE3473V;0;0;0;114192;314108,2;174408
WLVZE1435E;0;0;0;37179,5;47906,7;108369,1
RZWYT6292Y;0;0;0;1270;0;0
HQWWR4776Q;0;0;0;1265,88;0;0
BNZOW7233W;0;0;0;-3176,42;2660;0
LHMOM2251J;0;0;0;308290,14;338115,25;174483,34
WURET2937X;0;0;0;5555,97;2036,15;297749,36
HEVTO8575Z;0;0;0;817,9;0;817,9
XXQZQ5928O;0;0;0;2467,1;2467,1;139931,88
VTACZ6061C;0;0;0;3769,8;0;4418,7
IWUHR0013I;0;0;0;8344,8;41421,9;135375
GJTIQ5323N;0;0;0;2340,66;0;0
MWWXS8137F;0;0;0;1254,15;1254,15;2508,3
RCLKZ3612K;0;0;0;26235,9;3318;54604,8
WVYCC5051D;0;0;0;114706,4;76772;235057,8
EHIRX9822K;0;0;0;3361,2;672,24;0
PVHET7070B;0;0;0;1088;0;0
YHHTA3346D;0;0;0;29280;25088;69600
ZJTHW8775D;0;0;0;344659,7;258777,4;325512,6
ZFWSZ6367N;0;0;0;4766,44;0;0
LOQTT4701S;0;0;0;4758;19968;28288
BEGSE9172Z;0;0;0;7683;61620;62374
WJRFV9889Q;0;0;0;103280;71800;58560
CVMZA6782H;0;0;0;2379;0;0
MTWFN2367Q;0;0;0;262584;199980;73836
QANYD1282W;0;0;0;32480;0;0
DTXJH1956E;0;0;0;20585,61;0;303568,5
YQYYI7114I;0;0;0;3568,16;0;3252,86
PAUFJ8585X;0;0;0;1144,3;0;0
TQCIM3985E;0;0;0;4479,9;0;0
KCWIT2408Q;0;0;0;5655,44;0;5655,44
PLOJM5984S;0;0;0;144421,2;201414,51;59977,5
AMFLC0485P;0;0;0;254979,9;357286,78;232073,1
CDAPX7026I;0;0;0;351132,5;495011,88;225496,56
WFIVZ6938B;0;0;0;1409,66;0;0
XSLES3477S;0;0;0;2821;0;0
KDAZZ4327C;0;0;0;73990,8;88496,66;79279,2
CVZLK4062R;0;0;0;24864;24159;20204
XIIQW3419B;0;0;0;1242,85;2263,1;0
NWSEZ6864P;0;0;0;2242489;212367;0
YWCGV1297S;0;0;0;7396,86;70977,52;5254,6
PWJIO2761X;0;0;0;544,5;0;0
TROQU3705W;0;0;0;605;0;0
KXQMY0246D;0;0;0;366;0;0
ZQSFK5513B;0;0;0;305;0;0
PKEJV3747V;0;0;0;2562,41;2323,72;222386,5
RCRVG5012B;0;0;0;0;420;0
MDYGL8371A;0;0;0;0;126325,35;0
RHINZ3246Q;0;0;0;0;112092,3;60977,1
XPLEA6925S;0;0;0;0;67564,18;113758,22
DQJBW3032Z;0;0;0;0;58713,92;83753,68
OQBNY4614X;0;0;0;0;691,54;2074,62
OJSMH2846D;0;0;0;0;13434,4;10013,6
XCIGZ2416Z;0;0;0;0;14744,8;7372,4
FASTF3108W;0;0;0;0;6928;6557,8
TMDXW4427Q;0;0;0;0;12124;6805,7
SCWUM1823I;0;0;0;0;40425;183167,33
VFPPG2556M;0;0;0;0;22272;0
DRWGU8015K;0;0;0;0;3721;0
SQPFL6067Q;0;0;0;0;116399,7;435653,34
EYPSX8014W;0;0;0;0;1305,64;316556,35
LVPFV4447K;0;0;0;0;1036;0
RWFYN9786G;0;0;0;0;675882,4;547996
RVGFJ5682V;0;0;0;0;272777,72;574581
CMVPQ1787X;0;0;0;0;63473,4;141069,9
VKKNO8069D;0;0;0;0;17536,2;41817,6
PFRES4617R;0;0;0;0;2034,16;6102,48
EJQYA2823R;0;0;0;0;1402,61;7013,05
IVABF7766D;0;0;0;0;19537,5;24262,5
TIQCX6322S;0;0;0;0;5454;159072,39
ZMUNM1690S;0;0;0;0;359395,5;201675
XIDJI0493R;0;0;0;0;1036;0
BKEFC9374R;0;0;0;0;102415,35;119673,75
XNVAP0632L;0;0;0;0;587647,2;0
SALSP7074M;0;0;0;0;207843,1;0
GHHAA5461L;0;0;0;0;186219;218258,7
ZNTBK2724D;0;0;0;0;155588,1;14487,5
QWJGI5560U;0;0;0;0;196448,7;81982,2
TBHXO8930F;0;0;0;0;16679,15;181714,95
QHGWH4383X;0;0;0;0;71205,4;36209,8
HEISP2576C;0;0;0;0;709,5;0
NQECK6435Z;0;0;0;0;0;137961,3
KITOO3764M;0;0;0;0;0;561996,77
RPXPF9500O;0;0;0;0;0;374708,85
TZZJC6508P;0;0;0;0;0;717126,5
EMOQE8443G;0;0;0;0;0;566146,2
BNBLD0451S;0;0;0;0;0;798668
YBZEW0541P;0;0;0;0;0;7531,26
TSYRQ2194K;0;0;0;0;0;105639,88
JLNHA9018N;0;0;0;0;0;31146
PLQSJ8688T;0;0;0;0;0;62008
CQDXM3604F;0;0;0;0;0;24388
KXBKG1578I;0;0;0;0;0;106206,03
KXOWI2878S;0;0;0;0;0;172345,37
MMJTH5383N;0;0;0;0;0;432931,96
MNBNU6790P;0;0;0;0;0;42084,24
MXBSJ6279B;0;0;0;0;0;96635
AZJUI5294G;0;0;0;0;0;293607
PDNZF4901N;0;0;0;0;0;174674,5
ZXOQK7481N;0;0;0;0;0;16984,08
LJTJE9751L;0;0;0;0;0;127667,62
GFVGR6551R;0;0;0;0;0;3075,48
MTZGR4156F;0;0;0;0;0;97770,22
WNEUT1244W;0;0;0;0;0;613890,56
QJERM2061X;0;0;0;0;0;235171,99
LPMNH7672A;0;0;0;0;0;179621
JQNBB3436S;0;0;0;0;0;165408,48
JBDYM5518T;0;0;0;0;0;156582,02
EREGB8536X;0;0;0;0;0;155230,86
IADKF3627Y;0;0;0;0;0;149670,48
ZCQLJ9260Z;0;0;0;0;0;121914,45
OMFGQ9755K;0;0;0;0;0;108877,36
SOBCV5230I;0;0;0;0;0;97085,04
DVGYF7441C;0;0;0;0;0;203569,96
VYDVL5274I;0;0;0;0;0;90841,64
JWDHT4383K;0;0;0;0;0;89947,69
IMKZD4764I;0;0;0;0;0;86938,89
RRMDB7949Y;0;0;0;0;0;122545,55
JQMMA3369I;0;0;0;0;0;81563,91
JKDSP4007D;0;0;0;0;0;81013,39
WNHAL7065A;0;0;0;0;0;66396,02
JZRYU2223H;0;0;0;0;0;66061,9
DPONM4411U;0;0;0;0;0;64528,06
IJEEW9786D;0;0;0;0;0;60227,43
DFHAN7222X;0;0;0;0;0;59624,51
UUUHQ8498K;0;0;0;0;0;185984,14
ANNZP9360C;0;0;0;0;0;118247,79
WQTHY9728T;0;0;0;0;0;20735
JUFVE7145Q;0;0;0;0;0;55224,13
CVABX5807P;0;0;0;0;0;124427,8
FHGXY3669E;0;0;0;0;0;117781,9
MJEYO4778W;0;0;0;0;0;106766,16
MQOMA0838O;0;0;0;0;0;211713,59
YYQKZ1814R;0;0;0;0;0;531713,86
YRQCH3249T;0;0;0;0;0;72154,77
YNRQF3694I;0;0;0;0;0;21248,37
AHADW2384J;0;0;0;0;0;82312,3
ILRVF1599K;0;0;0;0;0;97527,36
KQSVG0457C;0;0;0;0;0;529152
XZELD2527C;0;0;0;0;0;93167,2
VHGQE3309A;0;0;0;0;0;1483008,46
SUUDB7468A;0;0;0;0;0;467183,46
ABHBY7316I;0;0;0;0;0;1241
NBVSH5175J;0;0;0;0;0;620,5
HHTHV2775L;0;0;0;0;0;3787,85
AEXUO1651I;0;0;0;0;0;225835
ATNZU9164H;0;0;0;0;0;261744,08
BLUSO4625E;0;0;0;0;0;363937,05
MILKC2927E;0;0;0;0;0;234561,69
KINQA6394J;0;0;0;0;0;88924,8
OTYKE4371M;0;0;0;0;0;4739,7
ODFZE4384H;0;0;0;0;0;97955
OKIWX0729D;0;0;0;0;0;-3483
AVWGO4294J;0;0;0;0;0;224982,45
HQTPM5338K;0;0;0;0;0;6987,76
SFSQE1955Y;0;0;0;0;0;91069,5
YSROZ8528N;0;0;0;0;0;5255,3
EDFXY8271M;0;0;0;0;0;62050,64
JPKFR1732S;0;0;0;0;0;85858,5
SAREX3102M;0;0;0;0;0;10858,06
XRHYR6712I;0;0;0;0;0;198231,62
HAHAF4310T;0;0;0;0;0;216267,17
YAEAX6014S;0;0;0;0;0;79451,66
WUSEC6420L;0;0;0;0;0;57829,89
EXMEZ2356C;0;0;0;0;0;45997,7
YDLUW3370F;0;0;0;0;0;75161,95
ICEEI2729B;0;0;0;0;0;216714,73
QVGPU0140Y;0;0;0;0;0;-6648
PHKUJ8850F;0;0;0;0;0;81717,44
FKJPS4544X;0;0;0;0;0;117453,52
BKDVS3498W;0;0;0;0;0;282697,75
NHBVD3333I;0;0;0;0;0;39131,3
ZOWUG3225P;0;0;0;0;0;224190
HMSMS6645T;0;0;0;0;0;40500
GNCLU6535W;0;0;0;0;0;-3039,48
SFPUR1412M;0;0;0;0;0;-1592,14
LKGNM1132Q;0;0;0;0;0;-3213,61
AJOSZ8276L;0;0;0;0;0;-47946,36
AHMDA4264H;0;0;0;0;0;64137,45
UPJRU8760U;0;0;0;0;0;68307,36
EMJDK6241Q;0;0;0;0;0;62709,54
GYMMU3149F;0;0;0;0;0;191469,68
WXPMO3327P;0;0;0;0;0;168228,32
ATWNQ8918J;0;0;0;0;0;194749,11
IUOOJ1866R;0;0;0;0;0;189382,11
GIMTO6164N;0;0;0;0;0;162972,63
YLTFD8278P;0;0;0;0;0;5853,5
TFZAC7457G;0;0;0;0;0;153991,34
IXDXN8949T;0;0;0;0;0;32696
BIZCL4056G;0;0;0;0;0;41388,5
CEYHN5491M;0;0;0;0;0;103812
EGPHM0961N;0;0;0;0;0;99478,8
TJEUK6794H;0;0;0;0;0;46116
LSHPF6148N;0;0;0;0;0;407
WNUPN1924O;0;0;0;0;0;132633,67
NEYIS2843D;0;0;0;0;0;196904,93
PHLRZ2253Y;0;0;0;0;0;61830,51
QFQIP6077N;0;0;0;0;0;62158,17
VWPOM5482U;0;0;0;0;0;81959,13
OMWSR1786U;0;0;0;0;0;238596,63
ANUJJ8813Z;0;0;0;0;0;276132,05
