Sales RUB;июл.17;авг.17;сен.17;окт.17;ноя.17;дек.17
XTKEP6280F;32473,4;189159;98855;66867,8;161602;74120
CEPRU9192C;136800;86400;45600;57600;91200;21600
JBDXR1266U;117154;179987;179754,86;190444,43;390763,17;391111,72
XZOBE6361B;113171,8;123514,7;107400,25;233082,4;300911,35;333743,85
OBCVI7265A;250494;322230,9;69371,4;20791,5;81373,2;172974,3
PXUKD4937E;117131,52;141656,64;96061,44;102008,64;54600,96;267907,2
UXIML0754U;78352,6;6209,5;0;0;0;0
JAMIQ3616W;88295,36;75503,65;82905,14;72654,06;154256,48;240730,73
DRDGH6817X;28090;14840;0;0;0;41620
ZYURY8511D;18348;28556;8228;5368;0;0
FJIXG2224O;2688;5952;0;0;0;0
NVCGG5770E;31046,4;71328;7353,6;10540,8;0;0
ACQIR4088A;12610,8;8872,2;18665,1;3403,8;16214;108900
DYPTG4479D;72468;36234;0;0;0;0
UAEEM9752V;55006,76;20252;63775,5;38979;51240;60847,5
NJBCV8164J;342089,2;34617,6;1967914,4;576575,36;109622,4;0
JQVMF4844J;146605;0;193148;118810;189660;0
HGWRT0854F;237951,6;211641;222808,2;204882,4;241777,4;394546,2
RXUAW5727R;35658;27576;12636;34912,8;22258,8;40122
RLGAR2741X;2563,28;0;0;0;0;0
CYALD7829Z;3371,22;1012,6;4038,06;4038,06;3365,05;0
TAGMR1005Y;24336;84784;16256;1088;0;0
SGFJV1160F;725,9;0;0;0;0;0
HJQJR3247E;175917,7;12911,5;4998;0;0;0
AOHJE6310X;99557;146624;67686;0;0;0
TUTDK7805V;13540,6;44808,8;0;0;0;0
NRWKZ1081A;26901;10461,5;50298,5;13450,5;0;0
FLSBD7610B;72750,54;59041,47;0;0;0;0
DTVCD8584C;79236,46;216138,2;60978,54;14189,07;504;0
PJYGH0748R;139200;60000;16800;50400;96000;2400
YNBSW1740L;1223,66;0;0;0;0;0
TNFGL6196Y;372895;454977;550466;590388,08;712579;978066,28
PGLSL3742U;1532,2;0;0;0;0;96980,04
RWBBH6311K;2800,26;0;0;7363,6;8836,32;80533,28
UPECP3215M;1894,4;0;0;0;0;0
KTHMS0697X;121719;44655;50843;67990;127868;147823
LPAXM8491O;149842;306064;124520;135413,9;147818;144210
OQKIC5873M;209300;98969;123266;159895,4;335369;355872,52
FNWHK6071J;44681;32435;10816;55913;0;0
KOPPW8098S;41336,36;49998;69381;0;0;0
KJCJJ1544Z;10920;0;0;0;0;0
JHCKH6189A;19305;0;0;19032;12870;0
DYESM6286I;1264873,08;574049,86;769723,21;1135352,56;1131466,57;2444564,34
JBUEH3584W;27940;0;0;0;0;0
RXRVC5351Q;1778;0;26314,4;137337,8;37592;0
GMZVR5022F;46581,9;43379,1;23895,4;17521,2;28966,5;43897,2
WOFYM1205P;252140,4;420325;454093,92;0;0;0
GYWFG5619V;32279;0;42588;227643;-61854;11661
IMGPQ9671B;38019;54379;34827;32477;9870;0
ADHDM4155G;199702,12;120616,8;139318,9;127819,3;262619,4;343186,2
TOZWG5908V;484255,5;131781,8;146638,5;217081,3;53580,4;0
MFHWN6079P;691,6;0;0;0;0;543,4
YJKSY3605T;3013,4;691,6;0;0;0;0
AVAIY0508R;7366;26680;22301;0;41349,8;46593,34
ZEQKZ0260U;36552;52447,5;31320;1836;66937,5;137632,88
BESYS0466Q;1849;0;0;0;0;0
WSXMH8974A;38700;32250;6450;0;0;0
AWYTG5887A;31036,8;42389,4;39777,88;25630,8;12868,4;1267,2
PUOGD6008E;816;30048;20432;16726,4;80524,8;8672
VFDDJ6215T;215433,34;187549,44;61610,44;63298,92;98321,42;206745,42
JRREN8634W;40341,6;7612,8;10795,2;56596,8;17409,6;85706,4
GQSFZ2277T;63531,8;55939,9;19083,28;43252,5;28625,65;115636,25
GUJAD7758G;92955,35;76167,85;33559,2;103632,2;54956,35;100765,24
TAFRJ5634B;100031,16;44400;54975;0;43950;70012,5
RZLTM8117F;103714,2;48607,2;135679,4;126887,4;200206,4;2198
XGPOK3258T;747,86;0;0;2243,58;747,86;2991,44
KEKLI8217I;243078,42;215691,42;284320,02;400075,74;292686,48;391183,02
ZKJQJ7664B;103377;3111;27302;85476;78387;73508
FJVML2744V;1755;0;0;0;0;0
EMLZD8615D;8585,85;5879,3;4739,7;32530,4;11292,4;23258,2
IQZDY4978B;61209,6;82124,8;0;186988,56;314732,56;48870,4
ZQSUK2624A;224756,3;330627;311905,45;505260,5;476398,65;630917,4
QMTPU8156F;86670;0;0;0;0;0
NYRMV0580R;386306,38;324782,64;228017;175092,66;256894,16;345000,1
KSDXG3996E;29928;0;156038;71750;0;51250
FVASR5283J;130235;0;0;0;0;0
MJZIZ7509I;138171;0;0;0;0;0
GCVUY4877W;5530;43371;192760;209824;205163;81370
XRCTU7489L;13453,2;6862,95;0;0;5908,5;0
LSQGV7991K;18245,1;6081,7;42571,9;18245,1;0;0
GCCDE8091I;106443,41;52203,87;52994,7;78401,25;66831,11;19407,15
JQXXD7080Z;39650,1;118448,4;63239,4;80519,1;150283,2;174165,8
ELMAI7546S;63946,1;74323,8;60664,8;35968,7;57418,62;65594,6
SARXE2003U;25303,2;2028;0;0;0;0
QNIGA6246W;248797,5;71701;54740;120872,5;90597,5;327652,5
FTLAH5997A;32438,4;3989,4;17363,7;1994,7;0;0
BQWAX4418Z;36565,3;5181;0;-3140;2355;0
GVVGH9558A;18086,4;4945,5;27810,1;57668,8;59386,6;42796
HVBCM3741B;5490;0;0;0;0;0
SQWCG1718H;162000;87318;169875;145558;77770;162555
FFPUX1034F;1586,7;10707,15;11439;1906,5;0;0
CHKKD8085E;50719,5;66183;124215;92020,5;47736;16380
BXMMN4771W;32686,02;46226,4;34552,38;27958,32;31042,14;36344,58
EIXUT7302G;652,7;0;0;0;0;0
GKCTY9312K;749;0;0;588,5;0;0
ZEALF0409C;10322,79;0;0;0;0;43432,26
SKMJH8241E;106896,7;145660,74;52371,2;119087,7;72027,1;46398,4
SUBOT1872Y;985,17;2039,84;0;0;0;0
GOHGS2749P;93582,12;92741,3;118296,5;151905,64;139660,92;165689,78
WVIZJ6413R;21705,6;20311,34;0;0;0;0
WJMYK5294A;27062,5;35862,5;52312,5;44087,5;37950;49850
AZVNU3930C;-408;0;0;0;0;0
DRPSY4481F;436492,68;414081,66;398039,81;330280,08;341471,55;396770,15
HOVZG9924G;232896,4;235717,2;193044,4;220990;255640,2;1485
ZDTZC9904P;204278,2;236289;227167,6;0;435433,58;210507,8
NINOW8503I;36390,9;76046,1;23232,95;4050,15;8604,05;0
